Population,Genotype,Year,Annual Precip (cm),Mean annual temperature,Elevation (m),DBH (cm),Foliar Carbon (%),Foliar Nitrogen (%),Foliar C:N,Soil Carbon (%),Soil Nitrogen (%) from background sources (away from trees to measure underlying soil N gradient),Soil Nitrogen from beneath trees (compared to plant traits),Soil pH,Mean Leaf Area (cm2),Mean leaf mass (g),Foliar N_area (g/m2)
BL,,2014,,,,,,,,,0.06921228,,,,,
BL,,2014,,,,,,,,,0.094425522,,,,,
BL,,2014,,,,,,,,,0.084045984,,,,,
BL,,2014,,,,,,,,,0.06544254,,,,,
BL,,2014,,,,,,,,,0.063026138,,,,,
BL,,2014,,,,,,,,,0.0760535,,,,,
BL,,2014,,,,,,,,,0.02880705,,,,,
BL,,2014,,,,,,,,,0.047021002,,,,,
LOG,,2014,,,,,,,,,0.290626347,,,,,
LOG,,2014,,,,,,,,,0.45576629,,,,,
LOG,,2014,,,,,,,,,0.271131456,,,,,
LOG,,2014,,,,,,,,,0.120441362,,,,,
LOG,,2014,,,,,,,,,0.182885781,,,,,
LOG,,2014,,,,,,,,,0.417030603,,,,,
LOG,,2014,,,,,,,,,0.252305835,,,,,
LOG,,2014,,,,,,,,,0.300492436,,,,,
LOG,,2014,,,,,,,,,0.133961216,,,,,
LOG,,2014,,,,,,,,,0.165434852,,,,,
SJ,,2014,,,,,,,,,0.065704249,,,,,
SJ,,2014,,,,,,,,,0.170783028,,,,,
SJ,,2014,,,,,,,,,0.313421428,,,,,
SJ,,2014,,,,,,,,,0.511826038,,,,,
SJ,,2014,,,,,,,,,0.224027812,,,,,
SJ,,2014,,,,,,,,,0.161389768,,,,,
SJ,,2014,,,,,,,,,0.119046442,,,,,
SJ,,2014,,,,,,,,,0.121848099,,,,,
SJ,,2014,,,,,,,,,0.176595256,,,,,
SJ,,2014,,,,,,,,,0.285717934,,,,,
SNR,,2014,,,,,,,,,0.297878981,,,,,
SNR,,2014,,,,,,,,,0.137099758,,,,,
SNR,,2014,,,,,,,,,0.319068134,,,,,
SNR,,2014,,,,,,,,,0.801943064,,,,,
SNR,,2014,,,,,,,,,0.120171949,,,,,
SNR,,2014,,,,,,,,,0.292413175,,,,,
SNR,,2014,,,,,,,,,0.519211411,,,,,
SNR,,2014,,,,,,,,,0.2535595,,,,,
SNR,,2014,,,,,,,,,0.083758235,,,,,
SNR,,2014,,,,,,,,,0.078681014,,,,,
